location,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster
lat,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739
lon,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251
asl,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Shortwave Radiation,Evapotranspiration,Wind Gust,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature
unit,°C,%,hPa,mm,cm,%,W/m²,mm,km/h,km/h,°,Gpm,°C,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,sfc,sfc,sfc,10 m,10 m,1000 mb,1000 mb,850 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Münster Temperature [2 m elevation corrected],Münster Relative Humidity [2 m],Münster Mean Sea Level Pressure [MSL],Münster Precipitation Total,Münster Snowfall Amount,Münster Cloud Cover Total,Münster Shortwave Radiation,Münster Evapotranspiration,Münster Wind Gust,Münster Wind Speed [10 m],Münster Wind Direction [10 m],Münster Geopotential Height [1000 mb],Münster Temperature [1000 mb],Münster Temperature [850 mb]
20201116T0900,9.145955,84.0,1008.6,0.0,0.0,100.0,32.93,0.02304,37.079998,28.082308,233.86462,71.0,8.99,0.12
20201116T1000,9.485955,84.0,1009.5,0.0,0.0,100.0,50.73,0.02592,41.039997,28.167557,231.22583,78.0,9.26,0.3
20201116T1100,9.7459545,84.0,1010.5,0.0,0.0,100.0,74.76,0.03024,38.519997,29.179993,231.009,87.0,9.37,-0.38
20201116T1200,10.055955,85.0,1011.1,0.0,0.0,100.0,102.35,0.03312,39.239998,28.772987,238.29858,92.0,9.61,0.5
20201116T1300,11.765955,80.0,1011.3,0.0,0.0,100.0,117.479996,0.02448,39.96,29.308508,242.1759,94.0,11.18,1.88
20201116T1400,12.035954,79.0,1012.6,0.0,0.0,100.0,156.64,0.02592,37.8,29.317352,245.32315,105.0,11.37,1.9
20201116T1500,12.315955,78.0,1013.3,0.0,0.0,100.0,135.28,0.02448,36.36,27.212759,242.41797,110.0,11.58,2.01
20201116T1600,12.195954,80.0,1014.5,0.0,0.0,100.0,74.76,0.0216,36.36,26.339111,248.34401,121.0,11.5,2.09
20201116T1700,11.645955,85.0,1015.9,0.0,0.0,100.0,11.57,0.01296,33.839996,25.38702,251.82199,132.0,10.98,2.22
20201116T1800,11.215955,86.0,1016.7,0.0,0.0,100.0,0.0,0.0072,33.48,23.241617,253.81079,138.0,10.55,1.43
20201116T1900,10.985955,85.0,1017.2,0.0,0.0,100.0,0.0,0.00864,32.039997,22.314194,252.14969,142.0,10.24,0.88
20201116T2000,10.725955,83.0,1017.7,0.0,0.0,100.0,0.0,0.01008,32.399998,23.34455,252.96223,146.0,9.9,0.44
20201116T2100,10.335955,77.0,1018.5,0.0,0.0,100.0,0.0,0.01152,33.12,23.000591,252.69946,152.0,9.52,-0.04
20201116T2200,10.035954,77.0,1019.0,0.0,0.0,100.0,0.0,0.01008,30.599998,19.855558,247.61987,157.0,9.35,0.42
20201116T2300,9.435955,80.0,1019.5,0.0,0.0,100.0,0.0,0.00864,28.8,17.555307,241.8584,160.0,8.91,-0.17
20201117T0000,9.145955,80.0,1019.6,0.0,0.0,100.0,0.0,0.0072,28.44,16.92383,231.91122,161.0,8.64,-0.04
20201117T0100,9.735955,80.0,1019.9,0.0,0.0,100.0,0.0,0.00864,30.599998,20.808498,232.7336,164.0,9.0,0.98
20201117T0200,9.385955,84.0,1020.2,0.0,0.0,61.0,0.0,0.00576,29.88,18.218275,217.77568,166.0,8.85,1.46
20201117T0300,9.425955,85.0,1019.7,0.0,0.0,100.0,0.0,0.00432,31.68,20.969807,214.50851,161.0,8.77,3.1
20201117T0400,9.835955,83.0,1020.2,0.0,0.0,100.0,0.0,0.00576,35.28,24.442913,223.80652,166.0,9.07,3.98
20201117T0500,9.725955,84.0,1020.0,0.0,0.0,100.0,0.0,0.0072,39.239998,26.987997,226.08093,164.0,8.91,4.79
20201117T0600,9.645955,86.0,1020.7,0.3,0.0,100.0,0.0,0.0072,39.96,27.238943,225.53546,170.0,8.76,4.9
20201117T0700,9.675955,86.0,1020.2,0.0,0.0,100.0,0.0,0.01008,38.88,27.238943,224.46454,166.0,8.83,5.27
20201117T0800,9.705955,88.0,1020.0,0.0,0.0,100.0,0.0,0.01008,38.88,28.820242,228.54477,164.0,8.84,5.68
20201117T0900,10.055955,88.0,1020.4,0.0,0.0,100.0,26.699999,0.01008,38.88,29.59235,233.4089,168.0,8.97,5.54
20201117T1000,10.885955,85.0,1020.9,0.0,0.0,100.0,100.57,0.01728,38.16,30.154163,236.68938,173.0,9.5,5.01
20201117T1100,11.665955,82.0,1022.1,0.0,0.0,100.0,172.66,0.02736,38.88,31.178993,238.69588,182.0,10.08,4.19
20201117T1200,12.385955,79.0,1022.5,0.0,0.0,100.0,189.56999,0.03168,39.6,31.122828,240.17291,186.0,10.63,4.29
20201117T1300,13.035954,77.0,1022.1,0.0,0.0,100.0,226.95,0.03744,37.8,29.949316,244.359,183.0,11.3,4.6
20201117T1400,13.355955,75.0,1022.2,0.0,0.0,100.0,177.11,0.03024,38.16,28.277763,238.53586,185.0,11.73,4.59
20201117T1500,13.295955,75.0,1022.6,0.0,0.0,100.0,128.16,0.02448,37.44,27.859905,237.13132,188.0,11.83,4.26
20201117T1600,12.975955,75.0,1023.2,0.0,0.0,100.0,55.18,0.01584,35.64,27.288855,233.58362,193.0,11.67,4.75
20201117T1700,12.595955,77.0,1023.8,0.0,0.0,100.0,8.01,0.01008,34.56,25.661207,235.86406,197.0,11.44,5.46
20201117T1800,12.165955,79.0,1023.7,0.0,0.0,100.0,0.0,0.0072,32.039997,24.408424,232.79208,197.0,11.03,5.64
20201117T1900,11.985955,80.0,1023.7,0.0,0.0,100.0,0.0,0.0072,29.16,22.89611,233.31029,196.0,10.91,5.67
20201117T2000,11.985955,79.0,1023.8,0.0,0.0,100.0,0.0,0.0072,28.08,22.565422,236.05641,197.0,10.91,6.07
20201117T2100,11.865954,79.0,1024.6,0.0,0.0,100.0,0.0,0.00576,28.8,22.476227,238.09189,204.0,10.74,5.65
20201117T2200,11.685955,80.0,1024.4,0.0,0.0,100.0,0.0,0.00576,25.919998,22.26768,235.53918,202.0,10.56,5.33
20201117T2300,11.585955,81.0,1025.0,0.0,0.0,100.0,0.0,0.00576,24.48,21.67786,234.46233,206.0,10.43,5.36
20201118T0000,11.455955,81.0,1024.8,0.0,0.0,100.0,0.0,0.00576,26.28,20.240198,231.49934,204.0,10.32,5.72
20201118T0100,11.255955,82.0,1024.2,0.0,0.0,100.0,0.0,0.00432,23.759998,19.453327,231.009,199.0,10.13,5.54
20201118T0200,10.985955,83.0,1024.8,0.0,0.0,75.0,0.0,0.00288,28.8,17.10284,229.2679,204.0,10.05,5.93
20201118T0300,10.045955,87.0,1024.6,0.0,0.0,0.0,0.0,0.00288,27.0,16.055355,222.2737,202.0,9.67,6.28
20201118T0400,9.2459545,90.0,1024.9,0.0,0.0,0.0,0.0,0.00144,28.8,15.696165,216.60707,204.0,9.36,7.23
20201118T0500,8.615954,92.0,1025.0,0.0,0.0,0.0,0.0,0.0,30.960001,14.20062,210.46555,204.0,9.18,8.31
20201118T0600,8.115954,93.0,1024.8,0.0,0.0,0.0,0.0,0.0,28.44,13.708391,203.1986,202.0,8.96,9.06
20201118T0700,7.735955,93.0,1024.4,0.0,0.0,0.0,0.0,0.0,27.359999,13.32,198.92465,199.0,8.79,9.3
20201118T0800,7.3259554,93.0,1024.1,0.0,0.0,0.0,0.0,0.0,27.72,13.797913,195.12401,196.0,8.37,9.78
20201118T0900,7.7859554,89.0,1023.6,0.0,0.0,0.0,48.95,0.00144,29.88,17.076298,198.43495,192.0,7.42,10.43
20201118T1000,9.075954,84.0,1023.5,0.0,0.0,0.0,159.31,0.0072,28.44,19.011953,198.77803,192.0,7.55,11.27
20201118T1100,10.575954,78.0,1023.9,0.0,0.0,0.0,243.86,0.01296,27.0,19.469975,199.44003,196.0,8.77,11.44
20201118T1200,12.005955,73.0,1022.4,0.0,0.0,0.0,295.47998,0.01872,27.72,18.792551,200.17065,185.0,10.23,10.9
20201118T1300,13.205955,68.0,1021.1,0.0,0.0,0.0,305.27,0.02448,28.8,19.137648,196.38954,176.0,11.57,10.47
20201118T1400,14.065955,65.0,1020.6,0.0,0.0,0.0,275.01,0.02448,29.16,19.486609,205.14479,171.0,12.63,10.21
20201118T1500,14.235955,67.0,1019.1,0.0,0.0,0.0,205.59,0.0216,30.239998,20.724247,197.1759,159.0,13.2,9.8
20201118T1600,13.815955,70.0,1018.9,0.0,0.0,0.0,105.909996,0.01296,30.599998,20.431387,194.2811,158.0,13.31,9.97
20201118T1700,12.635955,75.0,1018.0,0.0,0.0,0.0,10.68,0.00432,32.760002,19.06301,190.88553,149.0,12.69,10.46
20201118T1800,11.835955,77.0,1017.1,0.0,0.0,0.0,0.0,0.00432,34.2,22.963936,193.60054,142.0,11.78,10.52
20201118T1900,11.455955,77.0,1016.1,0.0,0.0,3.0,0.0,0.00432,37.8,25.729298,197.92792,134.0,11.38,10.31
20201118T2000,11.145955,75.0,1015.3,0.0,0.0,0.0,0.0,0.00432,39.6,24.94413,200.2657,127.0,11.12,9.96
